time_namelookup,time_connect,time_pretransfer,time_starttransfer,time_total
0.001348,0.001446,0.001506,0.039240,0.039307
0.000964,0.001077,0.001144,0.030010,0.030084
0.000840,0.000939,0.001000,0.027229,0.027304
0.000896,0.001017,0.001076,0.035549,0.035623
0.000967,0.001064,0.001116,0.028605,0.028664
0.001060,0.001173,0.001234,0.032850,0.033879
0.000859,0.000995,0.001057,0.037800,0.037874
0.000818,0.000915,0.000973,0.029019,0.029092
0.000875,0.000985,0.001048,0.028413,0.028475
0.000984,0.001101,0.001168,0.020044,0.020110
0.000876,0.000986,0.001052,0.028437,0.028504
0.000944,0.001045,0.001107,0.027699,0.027754
0.000681,0.000786,0.000840,0.032828,0.032897
0.000879,0.000982,0.001047,0.033671,0.033747
0.000806,0.000914,0.000998,0.041261,0.041324
0.000883,0.000993,0.001056,0.028641,0.030090
0.000858,0.000976,0.001033,0.029699,0.029795
0.000916,0.001033,0.001085,0.020202,0.020257
0.001100,0.001234,0.001303,0.023941,0.024010
0.000772,0.000886,0.000946,0.029403,0.029688
0.001508,0.001615,0.001672,0.021766,0.022585
0.000724,0.000837,0.000902,0.025661,0.025727
0.000881,0.000986,0.001041,0.026968,0.027023
0.000802,0.000919,0.000985,0.021887,0.021953
0.000884,0.001005,0.001071,0.019633,0.019692
0.000828,0.000934,0.000998,0.028700,0.028767
0.000881,0.000986,0.001052,0.025293,0.025365
0.000659,0.000770,0.000828,0.030238,0.030299
0.001098,0.001206,0.001273,0.030512,0.030572
0.001500,0.001642,0.001713,0.034515,0.034574
0.001005,0.001102,0.001166,0.031038,0.031129
0.000917,0.001043,0.001109,0.026827,0.026889
0.000829,0.000932,0.000994,0.035989,0.036057
0.000987,0.001112,0.001172,0.021363,0.021419
0.000801,0.001028,0.001087,0.033960,0.034026
0.001663,0.001777,0.001866,0.021516,0.021623
0.000876,0.001034,0.001098,0.024293,0.024353
0.000920,0.001036,0.001092,0.025898,0.025965
0.000931,0.001054,0.001115,0.033138,0.033199
0.000972,0.001081,0.001140,0.027436,0.027518
0.000800,0.000916,0.001026,0.026345,0.026417
0.000876,0.000984,0.001045,0.026501,0.026555
0.000848,0.000958,0.001012,0.027100,0.027196
0.003561,0.003670,0.003732,0.037586,0.037644
0.000798,0.000911,0.000973,0.028758,0.028814
0.000912,0.001023,0.001085,0.031377,0.031455
0.000994,0.001126,0.001188,0.039211,0.039273
0.000889,0.001013,0.001074,0.029496,0.029568
0.001290,0.001409,0.001466,0.030837,0.030905
0.000808,0.000910,0.000974,0.027345,0.027484
0.001028,0.001157,0.001219,0.022289,0.022368
0.000949,0.001073,0.001134,0.026341,0.026407
0.001170,0.001290,0.001344,0.022240,0.022305
0.000806,0.000926,0.000990,0.027610,0.027666
0.000882,0.000992,0.001050,0.023261,0.023314
0.000831,0.000945,0.001005,0.028493,0.028563
0.000859,0.000957,0.001021,0.026616,0.026692
0.001063,0.001185,0.001262,0.020539,0.020622
0.001089,0.001198,0.001262,0.040578,0.040637
0.000975,0.001108,0.001187,0.031115,0.031188
0.000912,0.001005,0.001063,0.024917,0.024973
0.001071,0.001189,0.001250,0.033573,0.033651
0.000734,0.000858,0.000923,0.021657,0.021733
0.001352,0.001460,0.001520,0.024410,0.024470
0.000918,0.001019,0.001079,0.021962,0.022024
0.000891,0.000992,0.001050,0.030379,0.030443
0.001018,0.001120,0.001181,0.046874,0.046946
0.000957,0.001071,0.001126,0.021055,0.021116
0.001001,0.001114,0.001170,0.034939,0.035007
0.000989,0.001103,0.001161,0.030368,0.030432
0.000861,0.000969,0.001038,0.020507,0.020585
0.000851,0.000953,0.001016,0.018691,0.018780
0.000884,0.000993,0.001054,0.018208,0.018278
0.000936,0.001056,0.001111,0.018947,0.019019
0.000996,0.001102,0.001169,0.024592,0.024664
0.000850,0.000956,0.001014,0.026486,0.026543
0.002728,0.002841,0.002900,0.022358,0.022428
0.000893,0.001000,0.001061,0.028703,0.028782
0.001057,0.001191,0.001250,0.021191,0.021287
0.000919,0.001027,0.001084,0.026043,0.026106
0.000826,0.000937,0.000997,0.029904,0.029961
0.000776,0.000893,0.000956,0.021192,0.021249
0.000908,0.001013,0.001073,0.033674,0.033740
0.000694,0.000801,0.000869,0.029098,0.029166
0.001553,0.001660,0.001720,0.027752,0.027824
0.000881,0.000986,0.001053,0.038143,0.038225
0.000781,0.000890,0.000950,0.028197,0.028286
0.000891,0.000998,0.001062,0.031179,0.031271
0.001104,0.001257,0.001317,0.035391,0.035459
0.000899,0.001020,0.001069,0.028742,0.028806
0.001461,0.001584,0.001651,0.033891,0.033945
0.002972,0.003101,0.003158,0.032242,0.032318
0.001011,0.001127,0.001187,0.028437,0.028513
0.001027,0.001464,0.002006,0.021208,0.021282
0.001274,0.001470,0.001531,0.029606,0.029680
0.001075,0.001242,0.001312,0.030293,0.030353
0.001047,0.001165,0.001222,0.027631,0.027695
0.000852,0.000971,0.001043,0.026502,0.026561
0.001192,0.001303,0.001410,0.028110,0.028177
0.000905,0.001024,0.001088,0.029108,0.029163
0.000849,0.000975,0.001038,0.020135,0.020192
0.000926,0.001046,0.001117,0.025203,0.025261
0.000908,0.001045,0.001110,0.022072,0.022128
0.001467,0.001611,0.001682,0.019763,0.019826
0.000864,0.000978,0.001046,0.029315,0.029380
0.000776,0.000887,0.000969,0.029521,0.029580
0.001097,0.001234,0.001307,0.021125,0.021184
0.000784,0.000895,0.000959,0.028029,0.028106
0.001337,0.001444,0.001498,0.023352,0.023420
0.000919,0.001035,0.001087,0.031499,0.031557
0.001224,0.001346,0.001402,0.030630,0.030693
0.001059,0.001162,0.001225,0.042333,0.042396
0.000908,0.001019,0.001077,0.027339,0.027403
0.000864,0.000971,0.001028,0.035946,0.036008
0.000862,0.000977,0.001039,0.025961,0.026024
0.001041,0.001168,0.001238,0.020189,0.020251
0.000838,0.000971,0.001065,0.027785,0.027842
0.000834,0.000973,0.001034,0.027448,0.027501
0.001322,0.001440,0.001495,0.018426,0.018510
0.000870,0.001004,0.001069,0.030544,0.030601
0.001045,0.001157,0.001258,0.026087,0.026153
0.002440,0.002588,0.002657,0.035594,0.035658
0.000936,0.001055,0.001111,0.027662,0.027734
0.001004,0.001129,0.001183,0.031777,0.031845
0.001000,0.001134,0.001195,0.022178,0.022240
0.001045,0.001180,0.001251,0.021214,0.021272
0.000918,0.001046,0.001108,0.036584,0.036660
0.001010,0.001127,0.001183,0.026981,0.027055
0.001111,0.001240,0.001298,0.020311,0.020367
0.001016,0.001130,0.001189,0.019870,0.019925
0.000805,0.000919,0.000983,0.025482,0.025541
0.001012,0.001122,0.001180,0.025318,0.025393
0.000932,0.001061,0.001121,0.020607,0.020671
0.000911,0.001036,0.001102,0.028832,0.028888
0.000864,0.000976,0.001038,0.027305,0.027372
0.000846,0.000948,0.001012,0.027933,0.028019
0.001229,0.001363,0.001432,0.027542,0.027601
0.000899,0.001036,0.001109,0.028608,0.028678
0.000980,0.001104,0.001159,0.033603,0.033669
0.000791,0.000920,0.000999,0.030613,0.030671
0.000989,0.001107,0.001158,0.027939,0.028016
0.000898,0.001062,0.001119,0.024334,0.024404
0.003259,0.003396,0.003459,0.034901,0.034977
0.000806,0.000922,0.000981,0.026806,0.027336
0.001056,0.001172,0.001230,0.026675,0.026748
0.000922,0.001040,0.001105,0.019701,0.019759
0.000826,0.000946,0.001012,0.018762,0.018825
0.000803,0.000918,0.000979,0.026972,0.027025
0.001005,0.001112,0.001170,0.022101,0.022157
